path_id,point_id,base_date_time_gt,longitude_gt,latitude_gt,longitude_pred,latitude_pred,sog_gt,sog_pred,heading_gt,heading_pred,haversine_dist_km,consolidated_rmse
100000001,63,05-01-25 01:14,-79.77525,26.36628,,,12.8,,14,,1000.0,
100000001,64,05-01-25 01:15,-79.7746,26.37044,,,12.9,,14,,1000.0,
100000001,65,05-01-25 01:16,-79.774,26.37467,,,12.9,,14,,1000.0,
100000001,66,05-01-25 01:18,-79.77326,26.37939,,,12.9,,14,,1000.0,
100000001,67,05-01-25 01:19,-79.77258,26.38341,,,12.9,,14,,1000.0,
100000001,68,05-01-25 01:20,-79.77166,26.38937,,,12.9,,14,,1000.0,
100000001,69,05-01-25 01:22,-79.77067,26.39597,,,12.9,,14,,1000.0,
100000001,70,05-01-25 01:23,-79.77003,26.40013,,,12.9,,14,,1000.0,
100000001,71,05-01-25 01:25,-79.76923,26.40492,,,12.9,,14,,1000.0,
100000001,72,05-01-25 01:26,-79.76857,26.4096,,,12.8,,14,,1000.0,
100000001,73,05-01-25 01:27,-79.76789,26.41435,,,12.8,,14,,1000.0,
100000001,74,05-01-25 01:29,-79.76723,26.41845,,,12.9,,14,,1000.0,
100000001,75,05-01-25 01:30,-79.76659,26.42264,,,12.9,,14,,1000.0,
100000001,76,05-01-25 01:32,-79.76551,26.42913,,,12.8,,16,,1000.0,
100000001,77,05-01-25 01:34,-79.76426,26.43613,,,12.8,,16,,1000.0,
100000001,78,05-01-25 01:35,-79.76346,26.44031,,,12.8,,16,,1000.0,
100000001,79,05-01-25 01:37,-79.76221,26.44738,,,12.8,,16,,1000.0,
100000001,80,05-01-25 01:38,-79.76146,26.45146,,,12.8,,16,,1000.0,
100000001,81,05-01-25 01:39,-79.76061,26.45624,,,12.8,,16,,1000.0,
100000001,82,05-01-25 01:41,-79.75966,26.46138,,,12.8,,16,,1000.0,
100000001,83,05-01-25 01:42,-79.75888,26.46551,,,12.8,,16,,1000.0,
100000001,84,05-01-25 01:43,-79.75812,26.46965,,,12.7,,16,,1000.0,
100000001,85,05-01-25 01:45,-79.7569,26.47659,,,12.8,,16,,1000.0,
100000001,86,05-01-25 01:46,-79.75612,26.48086,,,12.8,,16,,1000.0,
100000001,87,05-01-25 01:48,-79.75508,26.4872,,,12.7,,15,,1000.0,
100000001,88,05-01-25 01:49,-79.75438,26.49126,,,12.8,,15,,1000.0,
100000001,89,05-01-25 01:50,-79.75367,26.49535,,,12.7,,15,,1000.0,
