ID,X,Y,WKT,Name,Description,Date Created,Date Updated
55,-79.91726879,26.5067108185031,"LINESTRING(-79.9168956885114 26.5066842315719, -79.9176418920979 26.5067374054343)",vessel_19_length,,01/21/2026 14:39:47,01/21/2026 15:10:47
56,-79.91729237,26.5067176753655,"LINESTRING(-79.9172857776284 26.5068164141849, -79.9172989604995 26.5066189365461)",vessel_19_width,,01/21/2026 14:40:03,01/21/2026 15:11:10
57,-79.97718277,26.5463547199033,"POLYGON((-79.9772794311866 26.5462368261069, -79.9770861119032 26.5462368261069, -79.9770861119032 26.5464726136997, -79.9772794311866 26.5464726136997, -79.9772794311866 26.5462368261069))",vessel_20,ship_unverified_________visual,01/21/2026 14:41:08,01/21/2026 16:49:04
58,-79.97718569,26.5463537909091,"LINESTRING(-79.9771711369976 26.5462505398318, -79.9772002454847 26.5464570419863)",vessel_20_length,,01/21/2026 14:41:23,01/21/2026 16:48:20
59,-79.97718569,26.5463070757687,"LINESTRING(-79.9771152203903 26.5463157463819, -79.9772561620921 26.5462984051555)",vessel_20_width,,01/21/2026 14:41:30,01/21/2026 16:48:39
60,-79.94652251,26.5697887330316,"POLYGON((-79.9468949483708 26.5693467529491, -79.946150071919 26.5693467529491, -79.946150071919 26.5702307131141, -79.9468949483708 26.5702307131141, -79.9468949483708 26.5693467529491))",vessel_21,ship_unverified_________visual,01/21/2026 14:42:25,01/21/2026 16:50:22
61,-79.94648924,26.5697870962322,"LINESTRING(-79.9467901932076 26.5693903714418, -79.9461882933974 26.5701838210225)",vessel_21_length,,01/21/2026 14:42:57,01/21/2026 16:49:55
62,-79.94648194,26.5697973151691,"POLYGON((-79.9464079784229 26.5697525022551, -79.9465559097007 26.5698421280831, -79.9464079784229 26.5697525022551))",vessel_21_width,,01/21/2026 14:43:06,01/21/2026 16:50:08
63,-79.97355368,26.5880843461491,"POLYGON((-79.973663254641 26.5879391133785, -79.9734441004694 26.5879391133785, -79.9734441004694 26.5882295789197, -79.973663254641 26.5882295789197, -79.973663254641 26.5879391133785))",vessel_22,ship_unverified_________visual,01/21/2026 14:44:02,01/21/2026 15:12:51
64,-79.97355514,26.5880858502351,"LINESTRING(-79.9736508680508 26.5882154228166, -79.9734594067559 26.5879562776536)",vessel_22_length,,01/21/2026 14:44:20,01/21/2026 15:14:11
65,-79.97357416,26.5880981483497,"LINESTRING(-79.9736388353631 26.5880580246449, -79.9735094839707 26.5881382720545)",vessel_22_width,,01/21/2026 14:44:27,01/21/2026 15:14:25
